,comment,cl_comment,wordlist,emojis,sent,user,mentioned
1401,Oh I love u guys it's Patricia,oh love u guy patricia,"['oh', 'love', 'u', 'guy', 'patricia']",[],pos,_p.a.t.r.i.c.i.a.h_,[]
1402,❤️😍😍😍❤️😍😍😍❤️😍❤️😍❤️,,[],"['❤', '😍', '😍', '😍', '❤', '😍', '😍', '😍', '❤', '😍', '❤', '😍', '❤']",pos,r3d_sky_one,[]
1403,the best will always be @kendalljenner,best alway,"['best', 'alway']",[],pos,lilyzargon,['kendalljenner']
1404,Diva,diva,['diva'],[],pos,adrianoaristidessateles,[]
1405,🔥💓💗💄📿💍💎👋🇮🇹💋,,[],"['🔥', '💓', '💗', '💄', '📿', '💍', '💎', '👋', '💋']",pos,bachmann.mw,[]
1406,Anybody can ask me for a reading,anybodi ask read,"['anybodi', 'ask', 'read']",[],pos,jessicalfemi,[]
1407,A Simone e a Simaria,simon e simaria,"['simon', 'e', 'simaria']",[],pos,dralgsclayliv,[]
1408,😍❤️🔥,,[],"['😍', '❤', '🔥']",pos,just_me327945,[]
1409,@arelin_dm we need,need,['need'],[],pos,chikibere,['arelin_dm']
1410,Awesome,awesom,['awesom'],[],pos,abd_series,[]
1411,Lb,lb,['lb'],[],pos,faithmurdock,[]
1412,wail,wail,['wail'],[],pos,elizabethlewisnqdf15bgur,[]
1413,❤️❤️,,[],"['❤', '❤']",pos,lunaa_ward,[]
1414,tqvenze gamgamobit mesizmreba xolme,tqvenz gamgamobit mesizmreba xolm,"['tqvenz', 'gamgamobit', 'mesizmreba', 'xolm']",[],pos,undercover_shmetmeni,[]
1415,Que hermanas más bellas❤️❤️❤️❤️,que hermana ms bella,"['que', 'hermana', 'ms', 'bella']","['❤', '❤', '❤', '❤']",pos,nury4604,[]
1416,<3,3,['3'],[],pos,gabyfazza,[]
1417,🔥,,[],['🔥'],pos,fahad_diab3,[]
1418,LB😋😋😋😋😋,lb,['lb'],"['😋', '😋', '😋', '😋', '😋']",pos,dontexpectdiett,[]
1419,FBFBFBFB,fbfbfbfb,['fbfbfbfb'],[],pos,aceofserpentsllc,[]
1420,Follow back,follow back,"['follow', 'back']",[],pos,aceofserpentsllc,[]
1421,🧊🧊🔥🙂,,[],"['🧊', '🧊', '🔥', '🙂']",pos,notroublespeace,[]
1422,"awesome, so expressive! 😍😮",awesom express,"['awesom', 'express']","['😍', '😮']",pos,marlenchenvonstreckis,[]
1423,Mauve💜,mauv,['mauv'],['💜'],pos,jidd_atulkhair,[]
1424,❤️😍😍,,[],"['❤', '😍', '😍']",pos,bacreta,[]
1425,answer me pls i writet to u,answer pl writet u,"['answer', 'pl', 'writet', 'u']",[],pos,franz.krk,[]
1426,I WANT THAT,want,['want'],[],pos,nativsm,[]
1427,😍,,[],['😍'],pos,niaz_7761,[]
1428,damn gurrl I love yu,damn gurrl love yu,"['damn', 'gurrl', 'love', 'yu']",[],pos,tacorrikartel,[]
1429,2 beautiful sisters,2 beauti sister,"['2', 'beauti', 'sister']",[],pos,olivia.miriam.73,[]
1430,ژلهلهلهله,,[],[],pos,hoseinsoh_,[]
1431,بنمس مینت,,[],[],pos,hoseinsoh_,[]
1432,🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖🤖,,[],"['🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖', '🤖']",pos,dobrogowskijulian,[]
1433,😍,,[],['😍'],pos,madame_stylle,[]
1434,Love u 😍💕💗,love u,"['love', 'u']","['😍', '💕', '💗']",pos,ravi_kushwaha_210,[]
1435,Hi,hi,['hi'],[],pos,rabiurahmo,[]
1436,SW,sw,['sw'],[],pos,suryadav3984,[]
1437,🔥🔥🔥,,[],"['🔥', '🔥', '🔥']",pos,jose_aov14,[]
1438,WhatsApp number,whatsapp number,"['whatsapp', 'number']",[],pos,suryadav3984,[]
1439,💜💜💜,,[],"['💜', '💜', '💜']",pos,laurilauriklaurika,[]
1440,🔥🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥', '🔥']",pos,_sukunaa_470,[]
1441,2nd one is the sexiest,2nd one sexiest,"['2nd', 'one', 'sexiest']",[],pos,mirzaalif420,[]
1442,Lbb,lbb,['lbb'],[],pos,_alex94x,[]
1443,😍,,[],['😍'],pos,atefeh__aaaa,[]
1444,Hii,hii,['hii'],[],pos,anki_tkumar3027,[]
1445,😍😍😍,,[],"['😍', '😍', '😍']",pos,__.giuliaaa_____,[]
1446,💜,,[],['💜'],pos,emilia.bna,[]
1447,💜💜💜💜💜💜 @kendalljenner,,[],"['💜', '💜', '💜', '💜', '💜', '💜']",pos,susanagnique,['kendalljenner']
1448,Great Post!,great post,"['great', 'post']",[],pos,oliakulikova6499,[]
1449,😢😍wow speechless,wow speechless,"['wow', 'speechless']","['😢', '😍']",pos,basketballbeastbosnianlegend,[]
1450,Lb,lb,['lb'],[],pos,chappellshow103,[]
1451,Hi,hi,['hi'],[],pos,parima_qom,[]
1452,las dos mas guapas,la do ma guapa,"['la', 'do', 'ma', 'guapa']",[],pos,jhonsito_ig,[]
1453,❤️❤️,,[],"['❤', '❤']",pos,anna.koekoek,[]
1454,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
1455,yoo thanks @manlikeisaac for that Lamborghini you let me use 🤝🤝🤝,yoo thank lamborghini let use,"['yoo', 'thank', 'lamborghini', 'let', 'use']","['🤝', '🤝', '🤝']",pos,kobiiswrld,['manlikeisaac']
1456,Nxnb free nBzz,nxnb free nbzz,"['nxnb', 'free', 'nbzz']",[],pos,oscar_junior_131,[]
1457,🙌pjjxjbblvvnbbnbn jbnbnbfbiobvdojszovdm.kjxnNnnbbbbbbb. Hhxdbzj,pjjxjbblvvnbbnbn jbnbnbfbiobvdojszovdmkjxnnnnbbbbbbb hhxdbzj,"['pjjxjbblvvnbbnbn', 'jbnbnbfbiobvdojszovdmkjxnnnnbbbbbbb', 'hhxdbzj']",['🙌'],pos,oscar_junior_131,[]
1458,I love you Soona ❤️,love soona,"['love', 'soona']",['❤'],pos,as8657286,[]
1459,Xnx SMS f😮😮😮😮😮😮dgd😂,xnx sm fdgd,"['xnx', 'sm', 'fdgd']","['😮', '😮', '😮', '😮', '😮', '😮', '😂']",pos,yigit_betirgec01,[]
1460,CC ckdjd 😢😢x x.  Nd. 😮,cc ckdjd x x nd,"['cc', 'ckdjd', 'x', 'x', 'nd']","['😢', '😢', '😮']",pos,yigit_betirgec01,[]
1461,@kyliecosmetics @kyliejenner @kendalljenner very beautiful and all but we need new shades,beauti need new shade,"['beauti', 'need', 'new', 'shade']",[],pos,edalyn364,"['kyliecosmetics', 'kyliejenner', 'kendalljenner']"
1462,Lindona,lindona,['lindona'],[],pos,marimarques_ss,[]
1463,Gatas ❤️❤️❤️,gata,['gata'],"['❤', '❤', '❤']",pos,_cauan_7777,[]
1464,😍😍😍,,[],"['😍', '😍', '😍']",pos,fernanda5294,[]
1465,😍🔥🔥🔥🔥🔥🔥,,[],"['😍', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']",pos,inderjit75499,[]
1466,LB 1st,lb 1st,"['lb', '1st']",[],pos,_okdebadri_,[]
1467,LB❤️,lb,['lb'],['❤'],pos,_okdebadri_,[]
1468,😍😍😍,,[],"['😍', '😍', '😍']",pos,rk_suryavanshi_03,[]
1469,¤♤■●《¡♤■》♤♤Lb9,lb9,['lb9'],[],pos,vllllllllllx,[]
1470,□♤♤¤》¡♤■》¡Lb8,lb8,['lb8'],[],pos,vllllllllllx,[]
1471,《》□¤》■□》♡Lb7,lb7,['lb7'],[],pos,vllllllllllx,[]
1472,▪︎《♤□¤《》》■《》♤Lbl,lbl,['lbl'],['▪'],pos,vllllllllllx,[]
1473,▪︎《》□¤《》♤□□■♤Lbb,lbb,['lbb'],['▪'],pos,vllllllllllx,[]
1474,▪︎《¡♤□《》》■《《》》Lbj,lbj,['lbj'],['▪'],pos,vllllllllllx,[]
1475,▪︎》■□《》♤■《》》》Lbi,lbi,['lbi'],['▪'],pos,vllllllllllx,[]
1476,▪︎》♤□《¡♤■》♡¡Lbi,lbi,['lbi'],['▪'],pos,vllllllllllx,[]
1477,¤》♤□《》♤■♤♤Lbm,lbm,['lbm'],[],pos,vllllllllllx,[]
1478,¤》♤●《》♤■《》♤♤Lbk,lbk,['lbk'],[],pos,vllllllllllx,[]
1479,▪︎《■□《》》■■《》Lbm,lbm,['lbm'],['▪'],pos,vllllllllllx,[]
1480,▪︎■♤□□》♤■□■Lbo,lbo,['lbo'],['▪'],pos,vllllllllllx,[]
1481,▪︎》■¤《■■□《♤■Lbn,lbn,['lbn'],['▪'],pos,vllllllllllx,[]
1482,▪︎》♤□《》♤■《》¡♤Lb6,lb6,['lb6'],['▪'],pos,vllllllllllx,[]
1483,¤》♤□《》♤《《》¡Lb5,lb5,['lb5'],[],pos,vllllllllllx,[]
1484,▪︎》》□《》♤■■》》Lb4,lb4,['lb4'],['▪'],pos,vllllllllllx,[]
1485,¤》¡■¤《》♤■□》Lb3,lb3,['lb3'],[],pos,vllllllllllx,[]
1486,":,*^^<_=&&;:&&Lb2",lb2,['lb2'],[],pos,vllllllllllx,[]
1487,":,&%;*^^></^&&^;Lb1",lb1,['lb1'],[],pos,vllllllllllx,[]
1488,❤️❤️,,[],"['❤', '❤']",pos,flahabwhsn95,[]
1489,🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥']",pos,ivannaalvarado21,[]
1490,🔥🔥,,[],"['🔥', '🔥']",pos,flahabwhsn95,[]
1491,❤️❤️❤️,,[],"['❤', '❤', '❤']",pos,flahabwhsn95,[]
1492,🔥🔥,,[],"['🔥', '🔥']",pos,flahabwhsn95,[]
1493,💥💃💫🌟,,[],"['💥', '💃', '💫', '🌟']",pos,lugmilablichicnenk44,[]
1494,@lugmilablichicnenk44 Людмила,,[],[],pos,lugmilablichicnenk44,['lugmilablichicnenk44']
1495,great photo!,great photo,"['great', 'photo']",[],pos,auro.casm,[]
1496,Maravilhosas 😍😍😍,maravilhosa,['maravilhosa'],"['😍', '😍', '😍']",pos,andreluisdesouzasilva87,[]
1497,Lb,lb,['lb'],[],pos,tamaikaa,[]
1498,Lb,lb,['lb'],[],pos,tamaikaa,[]
1499,Lb,lb,['lb'],[],pos,tamaikaa,[]
1500,Follow,follow,['follow'],[],pos,cello.sport,[]
1501,Lb instantly 🙌🙌🙌,lb instantli,"['lb', 'instantli']","['🙌', '🙌', '🙌']",pos,adriana__marie04,[]
1502,Xx,xx,['xx'],[],pos,arifanaari604,[]
1503,Hermanita gemela preciosa igual @kyliejenner y @kendalljenner modelo belleza hermosas 😍😍💃💥🔥🔥🔥,hermanita gemela preciosa igual modelo belleza hermosa,"['hermanita', 'gemela', 'preciosa', 'igual', 'modelo', 'belleza', 'hermosa']","['😍', '😍', '💃', '💥', '🔥', '🔥', '🔥']",pos,stivenpadillaibarguen22,"['kyliejenner', 'kendalljenner']"
1504,Double hot 🔥🔥,doubl hot,"['doubl', 'hot']","['🔥', '🔥']",pos,jpdesignai,[]
1505,Nice photo 💯💯💯❤️❤️,nice photo,"['nice', 'photo']","['💯', '💯', '💯', '❤', '❤']",pos,elettrazelda2,[]
1506,Fff,fff,['fff'],[],pos,malikaaylmz,[]
1507,Hi,hi,['hi'],[],pos,e5m1m6a2,[]
1508,❤️❤️❤️❤️❤️❤️,,[],"['❤', '❤', '❤', '❤', '❤', '❤']",pos,shovohid_7707,[]
1509,Ай яайя,,[],[],pos,mnuryev73,[]
1510,💃💫,,[],"['💃', '💫']",pos,lugmilablichicnenk44,[]
1511,@lugmilablichicnenk44 красота естественная хороша,,[],[],pos,lugmilablichicnenk44,['lugmilablichicnenk44']
1512,twinning,twin,['twin'],[],pos,ronbroek,[]
1513,🔥🔥🔥,,[],"['🔥', '🔥', '🔥']",pos,ziddi_rahul_98,[]
1514,Hi,hi,['hi'],[],pos,4459.bobby,[]
1515,I can’t even with this! Ya’ll are on 🔥,even ya,"['even', 'ya']",['🔥'],pos,mep.dynamo,[]
1516,Lbcb,lbcb,['lbcb'],[],pos,daniiegirll,[]
1517,Congratulations but what do you do when you have $1 billion company what more do you want in life more money more power it only last as long as you live #foodforthought 🙌🏾,congratul 1 billion compani want life money power last long live foodforthought,"['congratul', '1', 'billion', 'compani', 'want', 'life', 'money', 'power', 'last', 'long', 'live', 'foodforthought']","['🙌', '🏾']",pos,keepit_real_micheal,[]
1518,@keepit_real_micheal DM me for about Life everlasting 💯,dm life everlast,"['dm', 'life', 'everlast']",['💯'],pos,keepit_real_micheal,['keepit_real_micheal']
1519,Lblb,lblb,['lblb'],[],pos,chappellshow103,[]
1520,Hello,hello,['hello'],[],pos,kk9857216,[]
1521,Lb,lb,['lb'],[],pos,chappellshow103,[]
1522,@rjarriagada,,[],[],pos,andy_barrerac,['rjarriagada']
1523,Hotnes goddess,hotn goddess,"['hotn', 'goddess']",[],pos,kimi_aririkashirinka,[]
1524,The only thing you need www.nfpenis.com,thing need wwwnfpeniscom,"['thing', 'need', 'wwwnfpeniscom']",[],pos,notmoraes,[]
1525,😍,,[],['😍'],pos,nycc.gisellee,[]
1526,Wow,wow,['wow'],[],pos,tatlanaseem,[]
1527,@jasminehandmade96,,[],[],pos,jasminehandmade96,['jasminehandmade96']
1528,@jasminehandmade96,,[],[],pos,jasminehandmade96,['jasminehandmade96']
1529,"leave your 9-5 job:

https://www.jonathanmontoyalive.com/quitmy9to5?fpr=noah34",leav 95 job http wwwjonathanmontoyalivecomquitmy9to5 fprnoah34,"['leav', '95', 'job', 'http', 'wwwjonathanmontoyalivecomquitmy9to5', 'fprnoah34']",[],pos,mortikaibugi,[]
1530,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",pos,bry25m,[]
1531,You So hot,hot,['hot'],[],pos,el.amina12022,[]
1532,😍😍😍,,[],"['😍', '😍', '😍']",pos,_vishuuu17_,[]
1533,Tocil vs toge,tocil vs toge,"['tocil', 'vs', 'toge']",[],pos,skholihin22,[]
1534,Hii,hii,['hii'],[],pos,maheshlakhman,[]
1535,Privet 😍,privet,['privet'],['😍'],pos,gi0shar,[]
1536,❤️😍🔥👏😮,,[],"['❤', '😍', '🔥', '👏', '😮']",pos,dd0332776,[]
1537,😍,,[],['😍'],pos,tim_holder44,[]
1538,oчень кpутo,po,['po'],[],neg,burtschi.uw5y66,[]
1539,Hotties,hotti,['hotti'],[],pos,christodisco,[]
1540,Maravilhosas,maravilhosa,['maravilhosa'],[],pos,gatas_mundias,[]
1541,Very nice🔥,nice,['nice'],['🔥'],pos,bottegov_687999,[]
1542,🔥🔥🔥🔥,,[],"['🔥', '🔥', '🔥', '🔥']",pos,sheilaholins,[]
1543,LB CB LB💜,lb cb lb,"['lb', 'cb', 'lb']",['💜'],pos,audre_steph,[]
1544,😍😍😍😍,,[],"['😍', '😍', '😍', '😍']",pos,_thesocialmart_,[]
1545,👏👏,,[],"['👏', '👏']",pos,dien_lecong,[]
1546,Sand pic on 💖 @food_brand_,sand pic,"['sand', 'pic']",['💖'],pos,pun.am8481,['food_brand_']
1547,Lb,lb,['lb'],[],pos,danielaichiyanagui,[]
1548,❤️ FDJT,fdjt,['fdjt'],['❤'],pos,epcory,[]
1549,Dm it on @planet_of._crystal,dm,['dm'],[],pos,jatinde.kumar.79,['planet_of._crystal']
1550,❤️🙌👏😍,,[],"['❤', '🙌', '👏', '😍']",pos,shhyntnh898,[]
1551,Meu priminho pequeno gostou de você,meu priminho pequeno gostou de voc,"['meu', 'priminho', 'pequeno', 'gostou', 'de', 'voc']",[],pos,emylipereira7,[]
1552,Beautiful❤️❤️,beauti,['beauti'],"['❤', '❤']",pos,calebke86,[]
1553,I love you without judgments prejudices I love you from heart and soul,love without judgment prejudic love heart soul,"['love', 'without', 'judgment', 'prejudic', 'love', 'heart', 'soul']",[],pos,conciencia_profunda_vibracion,[]
1554,@eze_guerreroo dospa,dospa,['dospa'],[],pos,benjaquispee_,['eze_guerreroo']
1555,@TI,,[],[],pos,benjaquispee_,['TI']
1556,CBCBCB N LBLBLB 🤍🤍🤍,cbcbcb n lblblb,"['cbcbcb', 'n', 'lblblb']","['🤍', '🤍', '🤍']",pos,carolleeena,[]
1557,С лева получше будет с права толстоват слехка 😂,,[],['😂'],pos,michael_fox202,[]
1558,😍😍😍😍💜💜💜💜,,[],"['😍', '😍', '😍', '😍', '💜', '💜', '💜', '💜']",pos,soyjavordelagala,[]
1559,RECENTSSS AND COMMENTSSS 🤍💫🤍💫,recentsss commentsss,"['recentsss', 'commentsss']","['🤍', '💫', '🤍', '💫']",pos,carolleeena,[]
1560,Ms Kendall and Kylie cani join n,ms kendal kyli cani join n,"['ms', 'kendal', 'kyli', 'cani', 'join', 'n']",[],pos,bluthardt_mark,[]
1561,Can I plz plz join u and u3,plz plz join u u3,"['plz', 'plz', 'join', 'u', 'u3']",[],pos,bluthardt_mark,[]
1562,❤️,,[],['❤'],pos,maharjanbibek,[]
1563,🙌🙌🙌🙌,,[],"['🙌', '🙌', '🙌', '🙌']",pos,kahlaoui.nour_,[]
1564,ready,readi,['readi'],[],pos,u_know_me4356,[]
1565,❤️❤️❤️❤️❤️,,[],"['❤', '❤', '❤', '❤', '❤']",pos,ali_akbar_ali_akbar_ali_akbar,[]
1566,I love you darling,love darl,"['love', 'darl']",[],pos,ali_akbar_ali_akbar_ali_akbar,[]
1567,😂😂😍hs,hs,['hs'],"['😂', '😂', '😍']",pos,riginlado,[]
1568,@miabhai._.nirjhor 😢🔥,,[],"['😢', '🔥']",pos,bayjid_hammad,['miabhai._.nirjhor']
1569,@cakebabe_,,[],[],pos,ph.ngannn_,['cakebabe_']
1570,pobres,pobr,['pobr'],[],pos,taynasandins,[]
1571,ROWSS🔙🔙🔥🔙🔙,rowss,['rowss'],"['🔙', '🔙', '🔥', '🔙', '🔙']",pos,yusuf_aleem,[]
1572,oчень круто,,[],[],pos,yuste__i9z80,[]
1573,Beautiful Kenny👏🔥,beauti kenni,"['beauti', 'kenni']","['👏', '🔥']",pos,caglaca__,[]
1574,👌🤚,,[],"['👌', '🤚']",pos,savanurhasansab,[]
1575,Habaybee,habaybe,['habaybe'],[],pos,adhamelkhyal,[]
1576,KK🙌🔥😢😍,kk,['kk'],"['🙌', '🔥', '😢', '😍']",pos,gisle.ni,[]
1577,Both are looking sexy 😍😍,look sexi,"['look', 'sexi']","['😍', '😍']",pos,jennie_cresta,[]
1578,❤️❤️🙌🔥👏,,[],"['❤', '❤', '🙌', '🔥', '👏']",pos,shego485,[]
1579,Hola presiosa❤️,hola presiosa,"['hola', 'presiosa']",['❤'],pos,fortino.velazquez.16100,[]
1580,Who Dat on the left 👀,dat left,"['dat', 'left']",['👀'],pos,09marcio,[]
1581,Probably gonna be cheap like the rest of her make up lmao,probabl gon na cheap like rest make lmao,"['probabl', 'gon', 'na', 'cheap', 'like', 'rest', 'make', 'lmao']",[],pos,hillery_ms_17,[]
1582,playground,playground,['playground'],[],pos,harshi_harshitha_95,[]
1583,@sayntiz.z_ @_.whiskeyneat._ 🔥u guyss,u guyss,"['u', 'guyss']",['🔥'],pos,kpopz.9,"['sayntiz.z_', '_.whiskeyneat._']"
1584,earthy,earthi,['earthi'],[],pos,periyasamy130688,[]
1585,🤔.kendal😭😭😭😭🔥,kendal,['kendal'],"['🤔', '😭', '😭', '😭', '😭', '🔥']",pos,addabouchikhe,[]
1586,❤️Qqa),qqa,['qqa'],['❤'],pos,daycham28,[]
1587,tricky,tricki,['tricki'],[],pos,ganpatsalvii3,[]
1588,bick,bick,['bick'],[],pos,viktor_miroslavov,[]
1589,❤️Send pic on💫 @gym_personaillty,send pic,"['send', 'pic']","['❤', '💫']",pos,bhar.atkhichi,['gym_personaillty']
1590,Hi❤️❤️❤️❤️❤️❤️❤️,hi,['hi'],"['❤', '❤', '❤', '❤', '❤', '❤', '❤']",pos,shivashivay081,[]
1591,Perfeição ❤️,perfeio,['perfeio'],['❤'],pos,brendasallesmakeup,[]
1592,😍🍑,,[],"['😍', '🍑']",pos,camile.074,[]
1593,❤️❤️❤️❤️🔥🔥🔥,,[],"['❤', '❤', '❤', '❤', '🔥', '🔥', '🔥']",pos,ponaganti.sagar,[]
1594,Kathai yalu,kathai yalu,"['kathai', 'yalu']",[],pos,ak1ndu_,[]
1595,🔥🔥🔥🔥😍,,[],"['🔥', '🔥', '🔥', '🔥', '😍']",pos,ram.telang.547,[]
1596,Hay,hay,['hay'],[],pos,gajendra742singh,[]
1597,The Jennerest😮😮😍,jennerest,['jennerest'],"['😮', '😮', '😍']",pos,bigpopa2,[]
1598,Hay,hay,['hay'],[],pos,gajendra742singh,[]
1599,aaadf,aaadf,['aaadf'],[],pos,tsshesaseshsdksfsshsdhshsdgssj,[]
1600,Follow me for dope memes 💕,follow dope meme,"['follow', 'dope', 'meme']",['💕'],pos,yourfavmemequeenxo,[]
1601,when I see them together I just remember her fights when she was a child a lot me and my sister 💜,see togeth rememb fight child lot sister,"['see', 'togeth', 'rememb', 'fight', 'child', 'lot', 'sister']",['💜'],neg,bow.belly0,[]
1602,Hi,hi,['hi'],[],pos,vazararakesh,[]
1603,❤️,,[],['❤'],pos,vazararakesh,[]
1604,I love you Kendall 🤩 Marry me♥️,love kendal marri,"['love', 'kendal', 'marri']","['🤩', '♥']",pos,sanketparab_07,[]
1605,Visit my account and follow if u likes my daily quotes 🌻🌻🌻❤,visit account follow u like daili quot,"['visit', 'account', 'follow', 'u', 'like', 'daili', 'quot']","['🌻', '🌻', '🌻', '❤']",pos,_.foreveryoung___,[]
1606,really really beautiful 🙌,realli realli beauti,"['realli', 'realli', 'beauti']",['🙌'],pos,_mket_,[]
1607,#gohomegota2022,gohomegota2022,['gohomegota2022'],[],pos,im_a_korean_lover,[]
1608,❤️hie,hie,['hie'],['❤'],pos,tinasheyunga,[]
1609,soda,soda,['soda'],[],pos,iuri_pos_amigos,[]
1610,murder,murder,['murder'],[],neg,nperumal269,[]
1611,hahaahah,hahaahah,['hahaahah'],[],pos,ronieedem123gmail.com8,[]
1612,hahahh,hahahh,['hahahh'],[],pos,ronieedem123gmail.com8,[]
1613,Hi hi,hi hi,"['hi', 'hi']",[],pos,mahesh1238305,[]
1614,Gorgeous 😍😍😍😍😍,gorgeou,['gorgeou'],"['😍', '😍', '😍', '😍', '😍']",pos,samuel_the.immortal,[]
1615,@t_anhh187 ddejp iax,ddejp iax,"['ddejp', 'iax']",[],pos,huongnguyentraon,['t_anhh187']
1616,😍😍😍🔥🔥,,[],"['😍', '😍', '😍', '🔥', '🔥']",pos,hecmarifinol,[]
1617,joyous,joyou,['joyou'],[],pos,bashathameen,[]
1618,❤️,,[],['❤'],pos,melligerbettina,[]
1619,So beautifully😍😍❤️❤️❤️❤️❤️,beauti,['beauti'],"['😍', '😍', '❤', '❤', '❤', '❤', '❤']",pos,hembram1883,[]
1620,Fab ❤️ You ladies should have some perfume bottles created in the same creation💞,fab ladi perfum bottl creat creation,"['fab', 'ladi', 'perfum', 'bottl', 'creat', 'creation']","['❤', '💞']",pos,lpearson46,[]
1621,silent,silent,['silent'],[],pos,na.garaj1758,[]
1622,Wow,wow,['wow'],[],pos,wb.plus,[]
1623,charge,charg,['charg'],[],pos,_sultan_mirza._01,[]
1624,nimble,nimbl,['nimbl'],[],pos,shankar___padiyar,[]
1625,wholesale,wholesal,['wholesal'],[],pos,avgu0sta,[]
1626,structure,structur,['structur'],[],pos,bed_boy_9273,[]
1627,🙌,,[],['🙌'],pos,kumare9300,[]
1628,fumbling,fumbl,['fumbl'],[],pos,lora_lashes,[]
1629,😍,,[],['😍'],pos,e.pluggedup,[]
1630,❤,,[],['❤'],pos,muhammadaliyeva_008,[]
1631,yall are gorgeous,yall gorgeou,"['yall', 'gorgeou']",[],pos,eliseheinroth,[]
1632,Oiii,oiii,['oiii'],[],pos,edenareisdesousa,[]
1633,Beautiful girls,beauti girl,"['beauti', 'girl']",[],pos,marthajimi,[]
1634,Lite,lite,['lite'],[],pos,loveable1991gudu,[]
1635,❤️❤️❤️,,[],"['❤', '❤', '❤']",pos,akila_fouad,[]
1636,Goddess,goddess,['goddess'],[],pos,its_theoutfitsforme,[]
1637,Чепуха,,[],[],pos,push_kar789,[]
1638,Prettyyy🔥😍,prettyyi,['prettyyi'],"['🔥', '😍']",pos,marielle_2oo9,[]
1639,Lb,lb,['lb'],[],pos,rhawkinsss,[]
1640,Congratulations my love 💕🥰,congratul love,"['congratul', 'love']","['💕', '🥰']",pos,christian.5182,[]
1641,"Re Launching This Year. 

Subscribe by email to be listed as our Members Only to receive newsletter , exclusive updates , new arrivals . 

#marciberlin #marcigang

www.marciberlin.com",launch year subscrib email list member receiv newslett exclus updat new arriv marciberlin marcigang wwwmarciberlincom,"['launch', 'year', 'subscrib', 'email', 'list', 'member', 'receiv', 'newslett', 'exclus', 'updat', 'new', 'arriv', 'marciberlin', 'marcigang', 'wwwmarciberlincom']",[],pos,marciberlin_,[]
1642,Lb,lb,['lb'],[],pos,ayssamae,[]
1643,😍😍😍😍😍😍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥😍😍😍😍😍😍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨👩‍❤️‍💋‍👨,,[],"['😍', '😍', '😍', '😍', '😍', '😍', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '😍', '😍', '😍', '😍', '😍', '😍', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '👩', '❤', '💋', '👨', '👩', '❤', '💋', '👨', '👩', '❤', '💋', '👨', '👩', '❤', '💋', '👨', '👩', '❤', '💋', '👨']",pos,sexysexygirls18x,[]
1644,business,busi,['busi'],[],pos,ramsinghgurjar_badal,[]
1645,Bruhhhhh🔥❤️,bruhhhhh,['bruhhhhh'],"['🔥', '❤']",pos,_sonu.exe,[]
1646,I love you both ❤️❤️😍😍🔥🔥❤️❤️,love,['love'],"['❤', '❤', '😍', '😍', '🔥', '🔥', '❤', '❤']",pos,aldrichroy7,[]
1647,@itsdshaaa_ @___arulmoleee___ @_anusha27_ namballum ipdi oru photoshoot panni podrom 🤍✨,namballum ipdi oru photoshoot panni podrom,"['namballum', 'ipdi', 'oru', 'photoshoot', 'panni', 'podrom']","['🤍', '✨']",pos,keerthusiva,"['itsdshaaa_', '___arulmoleee___', '_anusha27_']"
1648,@keerthusiva 😂😂 orre aasai,orr aasai,"['orr', 'aasai']","['😂', '😂']",pos,_anusha27_,['keerthusiva']
1649,@keerthusiva onzzzz,onzzzz,['onzzzz'],[],pos,itsdshaaa_,['keerthusiva']
1650,@keerthusiva I’m ready ❤️,readi,['readi'],['❤'],pos,___arulmoleee___,['keerthusiva']
1651,tedious,tediou,['tediou'],[],pos,51.32474,[]
1652,Very pretty 🔥❤️,pretti,['pretti'],"['🔥', '❤']",pos,akuangel06,[]
1653,Twins,twin,['twin'],[],pos,nabakateopista,[]
1654,😍,,[],['😍'],pos,elsyvalentina_,[]
1655,boil,boil,['boil'],[],pos,olivia.spam7306,[]
